code,observed_at,start_at,status,chance_this,chance_next,news
11948,1682333791,1682333791,a,,,
11974,1663194349,1663194349,a,,,
11974,1673585957,1673524531,u,,0.0,Transferred to LAFC
14937,1657988027,1657988027,a,,,
14937,1669176618,1669176618,a,75.0,100.0,
14937,1672318255,1669195985,u,0.0,0.0,Left club by mutual agreement
15157,1657988027,1657988027,a,,,
15157,1668109477,1668109477,a,0.0,100.0,
15157,1672318255,1671757208,i,0.0,0.0,Hamstring injury - Expected back 02 Jan
15157,1673585957,1673585957,d,50.0,50.0,Hamstring injury - 50% chance of playing
15157,1674195851,1674195851,a,100.0,100.0,
17601,1657988027,1657988027,a,,,
17745,1657988027,1657988027,a,,,
17745,1659947328,1659593889,u,0.0,0.0,Transferred to OGC Nice
17761,1657988027,1657988027,a,,,
18507,1663194349,1663194349,a,,,
18507,1663775227,1663344007,d,75.0,75.0,Lack of match fitness - 75% chance of playing
18507,1664875640,1664875640,a,75.0,100.0,
18507,1667216228,1666969208,s,75.0,0.0,Suspended until 26 Dec
18507,1669176618,1669176618,a,0.0,100.0,
18507,1673585957,1673488808,d,100.0,75.0,Knock - 75% chance of playing
18507,1674195851,1674195851,a,75.0,100.0,
18507,1678185619,1677954608,d,100.0,25.0,Knee injury - 25% chance of playing
18507,1679046737,1679046737,i,0.0,0.0,Knee injury - Expected back 08 Apr
18507,1679914802,1679914802,a,0.0,100.0,
18507,1682014831,1681732809,d,100.0,75.0,Knock - 75% chance of playing
18507,1682333791,1682333791,a,75.0,100.0,
18892,1659947328,1659947328,a,,,
19624,1657988027,1657988027,a,,,
19624,1659947328,1659871807,d,,75.0,Foot injury - 75% chance of playing
19624,1660639221,1660639221,i,0.0,0.0,Foot injury - Unknown return date
19624,1661250559,1661250559,a,75.0,100.0,
20066,1657988027,1657988027,a,,,
20066,1672318255,1672318255,a,75.0,100.0,
20066,1679046737,1678568409,d,100.0,75.0,Knee injury - 75% chance of playing
20066,1679914802,1679914802,a,75.0,100.0,
20310,1657988027,1657988027,a,,,
20467,1657988027,1657988027,a,,,
20467,1659947328,1659375005,i,0.0,0.0,Muscle injury - Unknown return date
20467,1661250559,1661250559,a,0.0,100.0,
20467,1672318255,1671582609,d,75.0,75.0,Calf injury - 75% chance of playing
20467,1672638138,1672638138,d,25.0,25.0,Calf injury - 25% chance of playing
